Text,Question,Answer,Template
"You wo nt miss it because it no longer has any purpose in the human body .","Why didn't you miss it?","because it no longer has any purpose in the human body","AmCauQgTemplate"
"The lens may be moved back and forth to bring the image into focus .","For what purpose can the lens be moved back and forth?","to bring the image into focus","AmPncQgTemplate"
"20 lb Q : Rod needs to buy a meter of wire for a science experiment , but the wire is sold only by the yard .","For what purpose does Rod buy a wire knife?","for a science experiment","AmPncQgTemplate"
"There are eight bones that fuse together to form the cranium .","To what end do eight bones fuse together?","to form the cranium","AmPncQgTemplate"
"You get the carbohydrates you need for energy from eating carbohydrate - rich foods , including fruits and vegetables , as well as grains , such as bread , rice , or corn .","What do you need carbohydrates for?","for energy","AmPncQgTemplate"
"To find out how the brain determines where a sound is coming from , watch this amusing video : MEDIA Click image to the left or use the URL below .","To what end do this amusing video watch mEDIA click image left?","To find out how the brain determines where a sound is coming from","AmPncQgTemplate"
"For a visual explanation of these concepts , watch the animation "" Temperature vs.","What is the purpose of the animation ""temperature monitoring?","For a visual explanation of these concepts","AmPncQgTemplate"
"Catalysts are not reactants , but they help reactants come together so they can react .","To what end do reaction agents come together?","so they can react","AmPncQgTemplate"
"For example , ticks and mosquitoes are vectors , so you should wear long sleeves and long pants when appropriate to avoid tick and mosquito bites .","For what purpose should you wear long sleeves and long trousers?","to avoid tick and mosquito bites","AmPncQgTemplate"
"Other types of rock are easily weathered because they dissolve easily in weak acids .","Why do other types of rock weather so easily?","because they dissolve easily in weak acids","AmCauQgTemplate"
"Uranus is also different because of its blue - green color .","Why is Uranus different?","because of its blue - green color","AmCauQgTemplate"
"Atoms also come together to form compounds much larger than water .","For what purpose do atoms also come together?","to form compounds much larger than water","AmPncQgTemplate"
"The word oceanology might be more accurate , since ology is the study of .","Why is the word oceanology more accurate?","since ology is the study of","AmCauQgTemplate"
"Citizens can change their behavior to reduce the impact they have on the planet by demanding products that are produced sustainably .","To what end can citizens change their behaviour?","to reduce the impact they have on the planet by demanding products that are produced sustainably","AmPncQgTemplate"
"For example , to generate a higher - frequency wave in a rope , you must move the rope up and down more quickly .","For what purpose does the rope have to be moved up and down faster?","to generate a higher - frequency wave in a rope","AmPncQgTemplate"
"For example , the biceps and triceps muscles work together to allow you to bend and straighten your elbow .","For what purpose do biceps and triceps muscles work together?","to allow you to bend and straighten your elbow","AmPncQgTemplate"
"What is needed to explain gravity ? A : A theory is needed to explain gravity .","What is required for what purpose?","to explain gravity","AmPncQgTemplate"
"What is needed to explain gravity ? A : A theory is needed to explain gravity .","To what end is a theory needed?","to explain gravity","AmPncQgTemplate"
"An inclined plane with a gentler slope has a greater mechanical advantage and requires less input force to move an object to a higher elevation .","For what purpose does an inclined plane with a gentler slope require less input force?","to move an object to a higher elevation","AmPncQgTemplate"
